,ENSG01,ENSG02,ENSG03,ENSG04,ENSG05,ENSG06,ENSG07,ENSG08,ENSG09,ENSG10,ENSG11,ENSG12,ENSG13,ENSG14,ENSG15,ENSG16,ENSG17,ENSG18
ID1000_0.0,0,5.9069,108.969,6.67087,193.347,3.21194,3.58746,36.4424,4.27937,17.1023,7.87339,1.6738,7.05832,2.36281,1.70748,43.3353,1.66302,5.58591
ID1000_0.5,1.21464,1.75953,45.3192,3.5868,50.8875,0.485835,1.2588,18.4021,2.42196,7.72285,3.00963,0.609045,5.65105,1.05644,1.05532,32.0689,0.331621,3.07596
ID1000_1.0,0,3.6321,50.1917,7.501,49.29,9.38282,1.86488,44.5688,3.74618,13.5271,6.57686,2.29754,8.71318,1.93327,2.73208,47.2195,2.23811,6.81754
ID1000_2.0,1.95219,2.53224,41.0815,3.92081,48.8542,0.932054,1.32566,34.6266,3.32787,10.1396,3.03261,0.831389,6.63473,1.17209,3.51255,134.321,0.965337,4.2427
ID1000_3.0,2.83796,3.18287,62.5079,5.24621,70.2438,1.05383,1.87525,35.448,3.72769,11.2847,5.2861,0.601255,6.14897,1.10201,1.6781,42.0681,0.883866,5.02807
ID1001_0.0,1.46439,1.54737,20.3517,2.33312,33.951,0.62341,0.9143,12.6195,3.55846,5.27714,1.6467,0.575538,3.61179,0.662043,0.730831,25.9932,0.250856,3.09274
ID1001_0.5,2.04954,3.67992,46.4772,5.16045,68.8474,1.37263,1.30132,32.4015,3.42087,11.5109,4.57639,1.54135,6.79841,1.49171,1.94729,31.6938,0.731744,4.56182
ID1001_1.0,1.92242,2.6807,33.401,4.08923,48.0286,2.41743,1.07251,24.3426,4.07357,9.36297,4.11763,1.19512,4.70994,1.18841,1.40864,66.4146,0.876248,2.60746
ID1001_2.0,1.86623,3.69006,36.713,4.7634,69.64,4.80189,1.42321,18.7194,1.98476,8.03996,4.50588,1.23252,3.37051,1.11961,1.0506,21.7943,2.03438,3.68612
ID1001_3.0,1.56277,2.45646,29.6028,2.69099,56.7331,0.986738,1.01869,10.2547,1.3941,4.54688,2.85093,0.264477,1.62712,0.543312,0.460004,18.0052,0.621293,2.1386
ID1002_0.0,1.72671,2.43672,31.9584,3.00476,50.4627,1.73191,0.928961,23.547,6.01206,5.20858,3.81542,0.446052,4.18492,1.11381,0.912508,46.2147,0.650765,3.30361
ID1002_0.5,3.2212,3.29868,36.0765,4.22538,38.1377,1.91491,1.33913,31.468,3.80765,10.0214,4.55992,0.673857,3.1162,1.36063,0.967696,28.625,0.606209,4.66168
ID1002_1.0,1.30754,2.45607,30.8595,3.6975,40.4125,3.88251,1.26741,18.0334,1.06922,6.73595,4.17517,1.00663,5.05907,1.78973,1.05968,60.0479,2.71671,2.17501
